Essence_billon;Module;ParameterEstimate;Produit;Vigueur1234;Effet
CHX;Pres;0.059733156;F2;NA;dhpcm_classepetro
CHX;Pres;-0.105571367;F3;NA;dhpcm_classepetro
CHX;Pres;-0.039186088;F4;NA;dhpcm_classepetro
CHX;Pres;0.003646489;P;NA;dhpcm_classepetro
CHX;Vol;0;DER;nonvig;classepetro_vig
CHX;Vol;0;DER;vigour;classepetro_vig
CHX;Vol;-3.184169476;F1;nonvig;classepetro_vig
CHX;Vol;-2.995301632;F1;vigour;classepetro_vig
CHX;Vol;-2.383890759;F2;nonvig;classepetro_vig
CHX;Vol;-2.34716;F2;vigour;classepetro_vig
CHX;Vol;-2.093127385;F3;nonvig;classepetro_vig
CHX;Vol;-2.004491348;F3;vigour;classepetro_vig
CHX;Vol;-3.355665924;F4;nonvig;classepetro_vig
CHX;Vol;-3.498594098;F4;vigour;classepetro_vig
CHX;Vol;-3.403853631;P;nonvig;classepetro_vig
CHX;Vol;-3.591509942;P;vigour;classepetro_vig
CHX;Vol;0;DER;NA;dhpcm_classepetro
CHX;Vol;0.052473066;F1;NA;dhpcm_classepetro
CHX;Vol;0.031482506;F2;NA;dhpcm_classepetro
CHX;Vol;0.01993692;F3;NA;dhpcm_classepetro
CHX;Vol;0.032317264;F4;NA;dhpcm_classepetro
CHX;Vol;0.046369935;P;NA;dhpcm_classepetro
