Essence_billon;Module;ParameterEstimate;Produit;PrioriteMSCR;Effet
CHR;Pres;0;DER;M;classepetro_mscr
CHR;Pres;0;DER;R;classepetro_mscr
CHR;Pres;0;DER;S;classepetro_mscr
CHR;Pres;-5.56703982465644;F1;C;classepetro_mscr
CHR;Pres;-8.16849398240127;F1;M;classepetro_mscr
CHR;Pres;0;F1;R;classepetro_mscr
CHR;Pres;-7.60084803821826;F1;S;classepetro_mscr
CHR;Pres;-2.54702152616411;F2;C;classepetro_mscr
CHR;Pres;-4.47442130297237;F2;M;classepetro_mscr
CHR;Pres;0;F2;R;classepetro_mscr
CHR;Pres;-3.64410578704215;F2;S;classepetro_mscr
CHR;Pres;5.00864346498434;F3;C;classepetro_mscr
CHR;Pres;4.95930693609896;F3;M;classepetro_mscr
CHR;Pres;0;F3;R;classepetro_mscr
CHR;Pres;5.31061296824557;F3;S;classepetro_mscr
CHR;Pres;1.24566740278888;F4;C;classepetro_mscr
CHR;Pres;0.561097832941587;F4;M;classepetro_mscr
CHR;Pres;0;F4;R;classepetro_mscr
CHR;Pres;0.871227919413983;F4;S;classepetro_mscr
CHR;Pres;1.24944838233694;P;C;classepetro_mscr
CHR;Pres;1.03557326109445;P;M;classepetro_mscr
CHR;Pres;0;P;R;classepetro_mscr
CHR;Pres;1.37720174496298;P;S;classepetro_mscr
CHR;Pres;0;DER;NA;dhpcm_classepetro
CHR;Pres;0.122926536794747;F1;NA;dhpcm_classepetro
CHR;Pres;0.0741540078984871;F2;NA;dhpcm_classepetro
CHR;Pres;-0.101914180040555;F3;NA;dhpcm_classepetro
CHR;Pres;-0.0391121883952273;F4;NA;dhpcm_classepetro
CHR;Pres;0.00597720263394791;P;NA;dhpcm_classepetro
CHR;Vol;0;DER;C;classepetro_mscr
CHR;Vol;0;DER;M;classepetro_mscr
CHR;Vol;0;DER;R;classepetro_mscr
CHR;Vol;0;DER;S;classepetro_mscr
CHR;Vol;-2.85753685913605;F1;C;classepetro_mscr
CHR;Vol;-2.81104490903156;F1;M;classepetro_mscr
CHR;Vol;0;F1;R;classepetro_mscr
CHR;Vol;-3.11049111811222;F1;S;classepetro_mscr
CHR;Vol;-2.32517020914436;F2;C;classepetro_mscr
CHR;Vol;-2.29068582539512;F2;M;classepetro_mscr
CHR;Vol;0;F2;R;classepetro_mscr
CHR;Vol;-2.32826451346484;F2;S;classepetro_mscr
CHR;Vol;-2.05835070778527;F3;C;classepetro_mscr
CHR;Vol;-2.27022832793481;F3;M;classepetro_mscr
CHR;Vol;0;F3;R;classepetro_mscr
CHR;Vol;-2.32264526603214;F3;S;classepetro_mscr
CHR;Vol;-3.61218959239649;F4;C;classepetro_mscr
CHR;Vol;-3.31971557171831;F4;M;classepetro_mscr
CHR;Vol;0;F4;R;classepetro_mscr
CHR;Vol;-3.18544580767133;F4;S;classepetro_mscr
CHR;Vol;-3.5156739971154;P;C;classepetro_mscr
CHR;Vol;-3.1825287642318;P;M;classepetro_mscr
CHR;Vol;0;P;R;classepetro_mscr
CHR;Vol;-3.46775480552593;P;S;classepetro_mscr
CHR;Vol;0;DER;NA;dhpcm_classepetro
CHR;Vol;0.0490136540084441;F1;NA;dhpcm_classepetro
CHR;Vol;0.030583522378503;F2;NA;dhpcm_classepetro
CHR;Vol;0.0226651806582776;F3;NA;dhpcm_classepetro
CHR;Vol;0.0333322542492254;F4;NA;dhpcm_classepetro
CHR;Vol;0.0443570697144078;P;NA;dhpcm_classepetro
